"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
"32","int","1","4","Holocene","","12","#FEF2E0","0.01170","0.00000","47900"
"3002","int","1","5","Holocene","","32","#FEF2E0","0.01170","0.00000","47900"
"922","int","1","5","Late Pleistocene","","33","#FFF2D3","0.12600","0.01170","15443"
"923","int","1","5","Middle Pleistocene","","33","#FFF2C7","0.78100","0.12600","15443"
"740","int","1","5","Calabrian","","33","#FFF2BA","1.80600","0.78100","47900"
"12","int","1","3","Quaternary","","1","#F9F97F","2.58800","0.00000","47900"
"33","int","1","4","Pleistocene","","12","#FFF2AE","2.58800","0.01170","47900"
"741","int","1","5","Gelasian","","33","#FFEDB3","2.58800","1.80600","47900"
"96","int","1","5","Piacenzian","","34","#FFFFBF","3.60000","2.58800","47900"
"34","int","1","4","Pliocene","","25","#FFFF99","5.33300","2.58800","47900"
"97","int","1","5","Zanclean","","34","#FFFFB3","5.33300","3.60000","47900"
"98","int","1","5","Messinian","","35","#FFFF73","7.24600","5.33300","47900"
"99","int","1","5","Tortonian","","35","#FFFF66","11.62000","7.24600","47900"
"100","int","1","5","Serravallian","","35","#FFFF59","13.82000","11.62000","47900"
"101","int","1","5","Langhian","","35","#FFFF4D","15.97000","13.82000","47900"
"102","int","1","5","Burdigalian","","35","#FFFF41","20.44000","15.97000","47900"
"25","int","1","3","Neogene","Ng","1","#FFE619","23.03000","2.58800","47900"
"35","int","1","4","Miocene","","25","#FFFF00","23.03000","5.33300","47900"
"103","int","1","5","Aquitanian","","35","#FFFF33","23.03000","20.44000","47900"
"104","int","1","5","Chattian","","36","#FEE6AA","28.10000","23.03000","47900"
"36","int","1","4","Oligocene","","26","#FDC07A","33.90000","23.03000","47900"
"105","int","1","5","Rupelian","","36","#FED99A","33.90000","28.10000","47900"
"106","int","1","5","Priabonian","","37","#FDCDA1","38.00000","33.90000","47900"
"107","int","1","5","Bartonian","","37","#FDC091","41.30000","38.00000","47900"
"108","int","1","5","Lutetian","","37","#FCB482","47.80000","41.30000","47900"
"37","int","1","4","Eocene","","26","#FDB46C","56.00000","33.90000","47900"
"109","int","1","5","Ypresian","","37","#FCA773","56.00000","47.80000","47900"
